maso,name,idpic
LCOU,Bộ đếm sét,1ZJUgZXioq_WzSeSiHo6TbMt4NPvQf4_W
DC,Cáp thoát sét chống nhiễu,18_pPIr9WNYtMMwE1Da2llxDH-poKKJWm
PVCC,Ống PVC,13ZXXvcfNAsF-qgpPMISt8U5_D-tEinIy
MCC,Tủ điều khiển trung tâm hệ cơ,1UKjE2CB0dSPBasBlEB2bn5SZZx8B66OL
OPIPE,Ống dẫn dầu,1uAbW5I92FOgEayd0Nb01wErSzfhvW43z
BMH,Hố ga xây gạch,1BtUGeAmdOsTMpHvNXOJ9eUGdSM38v6US
FUME,Ống khói,1_Rr0PJHauShSPrSXMJZV_DhyD6HQCOKQ
POLE,Trụ đèn,12UQcdzm3bhss6Gcy2MdRpsnXMMcbE9-G
DENABC,Đèn ABC,1h6Nc1GHZjbk0OAZoDcE2tWudknDeDG2F
ANTIV,Bệ quán tính_lò xo chống rung,1ekK61uVCXR8MY1_R8u1PUbKz_PByTQPV
HSOC,Ổ cắm công nghiệp,1ayi9AFzjyd60s9aWDv_00dufpKPufu7b
UR,Bồn tiểu,1-sc5CW5QuozvQYqvXz7FalUCXPJJjeeP
PIPES,Ống,1uXXXBC35VUYcqieMyjBqRLtGge3elgRa
LAD,Thang cáp _ladder_,1TAWzHVkV-SdYf8z4-ZraTeq-gVOxpmxt
CP,Tủ điều khiển,13s-Y1XwwU5BWpzX4TKO47iNAXf7ObClY
TRAY,Máng cáp lỗ_tray_,1wRpcxT2-P1XEtaYSIhi6J0LNNIVbDWgy
CMH,Hố ga bêtong,1g8ag2LAbJe0ZIP0FDZSgWjHuBLKlyDnZ
LEDBA,Đèn led thanh,1Ikopn71S_ys8A155uySbbFFyHex1vlZQ
RJOS,Khớp nối mềm,1PpCuSd8kAonIv1zNexRJkqaLaCl6cQXN
FPVC,Ống  mềm PVC,1e6P0QcH8EFRK2rcg23QiNWyEns0E_uK4
BWC,Busway CU,1bU-iSLQc0BCmITKrhj70bdp-Gr86XEGB
DB,Tủ Điện phân phối,1r624N3nxMFjLL11X2osa08DJHX1hUltt
DOWNL,Đèn Downlight,1D4bgobbC7lLfGI4W67LiBjWf4ncW0NHA
ELT,Co,1RHjcpK1khohZ70CRfwJpw6XRXJDvxYWf
LAV,Chậu rửa tay,1RaeMkonjqksw1mWWYnCC1S0k2NGvXghf
SINK,Chậu rửa bếp,16mMMuWOiJHa2Y2dp6FVdqQhiXsSQoBkJ
BRAN,Cần đèn,1vzDrEWKMkRwfepCx-N_lZBpkCDH0MluR
SH,Vòi sen,1rcm7JtvT1lv6Gx-Si_zfNrWqB0aFUNGe
DIM,Dimmer,1KgPs3-U-Ozxcn88g3zSArxnvKnKRT9pY
FGI,Ống  mềm GI,1vjX8zXk-mIDns8jCJsJ7pLd-mw3hpnZ6
LEVEL,Co lượn,1sCz9HbkjHtNNqOrXgmCmsUniCF4QDRXk
WM,Đồng hồ nước,1tun55iRuRM7IgbFPa46qn5bmhu3MQSJM
FHDPE,Ống xoắn HDPE,1m_UWvaVzKSm9fqsYoz03_XfuPcGKw01S
OPUMP,Bơm dầu,1hoKP43Bs_bNhIjScT63XaeAMrWSHQD2e
LEDT,Đèn led ống,1HyTyTn7No-9yPB40PtsNknfzMC0_JODs
TT,T,1NHZnBKxVQU-eL4vM254xdowhwT4bYYFI
DENLEDNODIMMER,"Đèn LED âm trần, không có điều chỉnh ánh sáng (9W)",1dntMFRfWmFmYm2iR9F5oRNhFx8kDMCdN
GAVS,Van cổng,1vjy4g1tc0ZOklR5dqLmjPiByR5NUBj_7
OTANK,Bồn dầu,1CEa_NYd4Dgzj4WqAhvYaFg4GwYlFk0rA
INS,Cách âm,1qKtSytcDmsddWE0qDjMVXAH7h__xxfKF
ANEX,Đèn chống nổ,1b1RgG6CyZcCGIJ4lAR5BWMn8WKZGVdEi
DENLEDDIMMER,"Đèn LED âm trần, có điều chỉnh ánh sáng (9W)",1U6U_7cpHICj-mbFieTF4Gv9oMcpnmBJp
WC,Bàn cầu,1thJHNSX6XqHSExQQg3igI2ge6XbsgsKP
GEN,Máy Phát Điện,1DsBmO9_vwUizABaVKoMXiiRYoo2u48OX
LEDB,Đèn led dây,1_9RRU83Nxi8zLijkRdScUdDdhXiPwSL1
PIPE,Ống,1RL_cCnfVLSfvcKAOiPIad0T2G4Ypq_AI
FE,Flange End,1DAGb42_kDYxS2CmdERpK6cll2gv_MQLm
ACQ,Acquy,1iaY0UqTsyrbrllF5l71y864CHnDp014T
HALO,Đèn halogen,1ojvQl_M5Ej2AW5ecRLNETit46fXyDfgR
TRUNK,Máng cáp thường_trunking_,1yVfCkwc076hE9WHZv_FQ09X9EnhTTpbV
VEELT,Co ngang,1l0egTbSY385H0RAzLMwVKwFIXnAKKThT
TAP,Vòi rửa,1hM6E-kxRbGG955KMo_mdbG5xv_bGoNO4
BT,Bồn tắm,1ayz1W-z0PmBvJdqp9DLcE_K-o2pdbo8f
BAVS,Van bi,14SmqSzOyAvrWrzrpEN5-TKhjhgYYrmhO
BWA,Busway AL,1ZIVd-s_aIC8TICqqseQjx-KqEswvh0Ea
SWIL,Đèn hồ bơi,1SuLfZ5jNDXL0A6ycOcY2Fhh9YjWg3WcB
SOC,Ổ cắm,1b5aUvLUNSOhzB4ThokV-TWy2KkQfW-SA
HOREL,CO ngang,13lZmNQftzi67eRE3t-TnOSxZ53dcAxXy
FLEXC,Nối mềm,1ge0YO_SPRNosymBIquSn95F37FoHGyMr
COML,Đèn Huỳnh Quang bóng Compact,1S82KctgcMWfDkQSsoDizd6yW_-jYXxws
FOUN,Móng trụ đèn,1nrTMSmQgWNI7t0cEa7SZIJ0-zb13Q-Wh
UPVC,Ống uPVC,1vIfPTboHne59SjHhGD7mWt0dvCH5rUj1
SWIT,Công tắc,171uTavOLbQ6Q5mlCx8Eeatr_jA3e1Yw7
ISO,Isolator,1bR9pgPtE1SepZZ9xowR__hud6FBikNy9
FVAS,Van phao,1-NZ0NfJfbOSP7KL444W0pitIzKjfS7jD
